Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.063884,-2.5097E-06,-0.092676,0,0,0,4.0108,0.020483,2.1664E-07,-0.017143,0.047181,4.3743E-07,0.036127,0,0,0,0,0,0,package://shi2d2_urdf/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/body_link.STL,,block_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
neck_link,0.05422,-5.7504E-08,-2.9221E-08,0,0,0,0.45339,0.00074029,2.3864E-09,7.7418E-10,0.00062178,-2.4138E-09,0.0011993,0,0,0,0,0,0,package://shi2d2_urdf/meshes/neck_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/neck_link.STL,,block_neck-1,Origin_body_neck_joint,Axis_body_neck_joint,body_neck_joint,revolute,0.085712,0,-0.0254,0,0,0,body_link,0,-1,0,0,0,0,0,,,,,,,,
head_link,0.024239,1.445E-06,-0.0023658,0,0,0,0.39874,0.00027907,7.6926E-09,4.2548E-05,0.00047118,-5.8575E-09,0.00050315,0,0,0,0,0,0,package://shi2d2_urdf/meshes/head_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/head_link.STL,,block_head-1,Origin_neck_head_joint,Axis_neck_head_joint,neck_head_joint,revolute,0.12581,0,0,0,0,0,neck_link,0,1,0,0,0,0,0,,,,,,,,
left_hip_link,4.66677864061071E-09,0.0380494307455075,-6.66067329069264E-09,0,0,0,0.193010455194921,0.000110085859650749,3.69671821863013E-12,-2.34237855008357E-12,0.000102815907460849,-1.06977079025306E-11,0.000154581134204514,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_hip_link.STL,,block_hip-1,Origin_body_left_hip_joint,Axis_body_left_hip_joint,body_left_hip_joint,revolute,-0.0095377,0.04445,-0.0762,0,0,0,body_link,0,-1,0,0,0,0,0,,,,,,,,
left_upper_leg_link,2.39391839684799E-16,-6.02898826157494E-06,-0.0517157329701583,0,0,0,0.252255455007211,0.000258279208939625,-7.51960991719161E-11,-2.91550284408147E-20,0.00031322388502802,-7.62486093874917E-08,0.000180385108717661,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_upper_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_upper_leg_link.STL,,block_upper_leg-1,Origin_left_hip_left_upper_leg_joint,Axis_left_hip_left_upper_leg_joint,left_hip_left_upper_leg_joint,revolute,0,0.0508,0,0,0,0,left_hip_link,1,0,0,0,0,0,0,,,,,,,,
left_lower_leg_link,-1.5341E-09,-8.1749E-09,-0.038913,0,0,0,0.21961,0.00030145,-3.9162E-12,9.0665E-12,0.00029492,-1.3588E-11,6.8165E-05,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_lower_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_lower_leg_link.STL,,block_lower_leg-1,Origin_left_upper_leg_left_lower_leg_joint,Axis_left_upper_leg_left_lower_leg_joint,left_upper_leg_left_lower_leg_joint,revolute,0,0,-0.1016,0,0,0,left_upper_leg_link,0,-1,0,0,0,0,0,,,,,,,,
left_foot_link,0.03544,5.5511E-17,-0.024879,0,0,0,0.23125,0.00011188,-2.0762E-20,5.2483E-06,0.00047901,-3.1773E-21,0.00057052,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/left_foot_link.STL,,block_foot-1,Origin_left_lower_leg_left_foot_joint,Axis_left_lower_leg_left_foot_joint,left_lower_leg_left_foot_joint,revolute,0,0,-0.1016,0,0,0,left_lower_leg_link,0,-1,0,0,0,0,0,,,,,,,,
right_hip_link,4.6668E-09,-0.038049,6.6607E-09,0,0,0,0.19301,0.00011009,-3.6967E-12,2.3424E-12,0.00010282,-1.0698E-11,0.00015458,0,0,0,0,0,0,package://shi2d2_urdf/meshes/right_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/right_hip_link.STL,,block_hip-2,Origin_body_right_hip_joint,Axis_body_right_hip_joint,body_right_hip_joint,revolute,-0.0095377,-0.04445,-0.0762,0,0,0,body_link,0,-1,0,0,0,0,0,,,,,,,,
right_upper_leg_link,1.0061E-16,-6.029E-06,-0.051716,0,0,0,0.25226,0.00025828,-7.5196E-11,-6.9884E-20,0.00031322,-7.6249E-08,0.00018039,0,0,0,0,0,0,package://shi2d2_urdf/meshes/right_upper_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/right_upper_leg_link.STL,,block_upper_leg-2,Origin_right_hip_right_upper_leg_joint,Axis_right_hip_right_upper_leg_joint,right_hip_right_upper_leg_joint,revolute,0,-0.0508,0,0,0,0,right_hip_link,1,0,0,0,0,0,0,,,,,,,,
right_lower_leg_link,-1.5341E-09,-8.1749E-09,-0.038913,0,0,0,0.21961,0.00030145,-3.9162E-12,9.0665E-12,0.00029492,-1.3588E-11,6.8165E-05,0,0,0,0,0,0,package://shi2d2_urdf/meshes/right_lower_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_urdf/meshes/right_lower_leg_link.STL,,block_lower_leg-2,Origin_right_upper_leg_right_lower_leg_link,Axis_right_upper_leg_right_lower_leg_link,right_upper_leg_right_lower_leg_link,revolute,0,0,-0.1016,0,0,0,right_upper_leg_link,0,-1,0,0,0,0,0,,,,,,,,
