Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.13606,0,0.011359,0,0,0,8.9552,0.065622,3.076E-18,-0.0026509,0.097234,-9.6882E-19,0.092589,0,0,0,0,0,0,package://shi2d2_model/meshes/body_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/body_link.STL,,block_body-1,body_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lower_neck_link,-5.5511E-17,-0.0017687,0.031852,0,0,0,0.10532,0.00010589,-2.4726E-22,2.1274E-21,0.00011244,7.9535E-06,2.1682E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/lower_neck_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/lower_neck_link.STL,,block_lower_neck-1,lower_neck_cs,lower_neck_axis,lower_neck_body_joint,revolute,-0.11,0,0.09,0,0,0,body_link,0,1,0,0,0,0,0,,,,,,,,
upper_neck_link,3.20229842643016E-10,0.00456641880555519,0.02102603018183,0,0,0,0.0458171863418158,2.15673758568492E-05,1.649532366958E-13,-5.40737714696766E-14,2.52796558598174E-05,2.697546946691E-06,9.11330065564873E-06,0,0,0,0,0,0,package://shi2d2_model/meshes/upper_neck_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/upper_neck_link.STL,,block_upper_neck-1,upper_neck_cs,upper_neck_axis,upper_neck_lower_neck_joint,revolute,0,0,0.08,0,0,0,lower_neck_link,0,-1,0,0,0,0,0,,,,,,,,
head_link,0.00500336825963593,0,0.0238221948814875,0,0,0,2.67569751121501,0.0105939643420427,6.16157394984149E-21,1.69633975914199E-07,0.0144986067494668,8.93711263768297E-19,0.0239858417124271,0,0,0,0,0,0,package://shi2d2_model/meshes/head_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/head_link.STL,,block_head-1,head_cs,head_axis,head_upper_neck_joint,revolute,0,0,0.05,0,0,0,upper_neck_link,0,0,1,0,0,0,0,,,,,,,,
left_upper_hip_link,-0.0059712,3.2849E-10,-0.028608,0,0,0,0.062291,3.4187E-05,-3.0119E-13,-4.9318E-06,3.2134E-05,-6.12E-14,1.5082E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/left_upper_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/left_upper_hip_link.STL,,block_upper_hip-1,left_upper_hip_cs,left_upper_hip_axis,left_upper_hip_body_joint,revolute,-0.11,0.07,0.01,0,0,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
left_lower_hip_link,0.00412136847671674,0.022089432822315,0,0,0,0,0.0704499551399887,3.56894011174932E-05,5.62565383061564E-06,-2.69628121776985E-21,1.82818834853739E-05,2.72719105860249E-21,3.4660829170683E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/left_lower_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/left_lower_hip_link.STL,,block_lower_hip-1,left_lower_hip_cs,left_lower_hip_axis,left_lower_hip_left_upper_hip_joint,revolute,0,0,-0.05,0,0,0,left_upper_hip_link,-1,0,0,0,0,0,0,,,,,,,,
left_upper_leg_link,-5.55111512312578E-17,0.00754303064725609,-0.08,0,0,0,0.209442443924986,0.000678723340344466,-2.43078723425231E-23,3.37489689921635E-21,0.000759267918622434,-1.50123494551635E-21,8.83678528228141E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/left_upper_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/left_upper_leg_link.STL,,block_upper_leg-2,left_upper_leg_cs,left_upper_leg_axis,left_upper_leg_left_lower_hip_joint,revolute,0,0.05,0,0,0,0,left_lower_hip_link,0,1,0,0,0,0,0,,,,,,,,
left_lower_leg_link,0,0,-0.05,0,0,0,0.0987374663549916,0.000150036380523695,-3.29579775314078E-24,-8.43724224804088E-22,0.000169013093769857,-2.25432566314841E-22,2.26793682344739E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/left_lower_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/left_lower_leg_link.STL,,block_lower_leg-1,left_lower_leg_cs,left_lower_leg_axis,left_lower_leg_left_upper_leg_joint,revolute,0,-0.0075,-0.16,0,0,0,left_upper_leg_link,0,1,0,0,0,0,0,,,,,,,,
left_foot_link,0.0094925,-0.0046106,-0.025411,0,0,0,0.052587,1.7182E-05,1.8977E-07,8.5667E-07,9.0114E-05,-4.5184E-06,8.4037E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/left_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/left_foot_link.STL,,block_foot-1,left_foot_cs,left_foot_axis,left_foot_left_lower_leg_joint,revolute,0,0.0075,-0.1,0,0,0,left_lower_leg_link,0,1,0,0,0,0,0,,,,,,,,
right_upper_hip_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://shi2d2_model/meshes/right_upper_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/right_upper_hip_link.STL,,block_upper_hip-2,right_upper_hip_cs,right_upper_hip_axis,right_upper_hip_body_joint,revolute,-0.11,-0.07,0.01,0,0,0,body_link,0,0,-1,0,0,0,0,,,,,,,,
right_lower_hip_link,0.00412136847671674,-0.022089432822315,0,0,0,0,0.0704499551399887,3.56894011174933E-05,-5.62565383061564E-06,2.92248216211112E-21,1.82818834853739E-05,-1.81331094631583E-21,3.4660829170683E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/right_lower_hip_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/right_lower_hip_link.STL,,block_lower_hip-2,right_lower_hip_cs,right_lower_hip_axis,right_lower_hip_right_upper_hip_joint,revolute,0,0,-0.05,0,0,0,right_upper_hip_link,-1,0,0,0,0,0,0,,,,,,,,
right_upper_leg_link,-5.55111512312578E-17,-0.00754303064725607,-0.08,0,0,0,0.209442443924986,0.000678723340344465,-3.20701870548828E-21,-2.49104056566088E-21,0.000759267918622433,1.73097682375832E-20,8.83678528228138E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/right_upper_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/right_upper_leg_link.STL,,block_upper_leg-3,right_upper_leg_cs,right_upper_leg_axis,right_upper_leg_right_lower_hip_joint,revolute,0,-0.05,0,0,0,0,right_lower_hip_link,0,-1,0,0,0,0,0,,,,,,,,
right_lower_leg_link,0,0,-0.05,0,0,0,0.0987374663549914,0.000150036380523695,1.15120018318712E-22,-1.68744844960818E-21,0.000169013093769857,3.96991372186093E-22,2.26793682344739E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/right_lower_leg_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/right_lower_leg_link.STL,,block_lower_leg-2,right_lower_leg_cs,right_lower_leg_axis,right_lower_leg_right_upper_leg_joint,revolute,0,0.0075,-0.16,0,0,0,right_upper_leg_link,0,1,0,0,0,0,0,,,,,,,,
right_foot_link,0.00949251107823679,0.0046106421166239,-0.0254114884788728,0,0,0,0.0525874653229678,1.71819053805558E-05,-1.89765660216749E-07,8.566705237295E-07,9.01135527083E-05,4.51837724189974E-06,8.40366490851664E-05,0,0,0,0,0,0,package://shi2d2_model/meshes/right_foot_link.STL,1,1,1,1,0,0,0,0,0,0,package://shi2d2_model/meshes/right_foot_link.STL,,block_foot-2,right_foot_cs,right_foot_axis,right_foot_right_lower_leg_joint,revolute,0,-0.0075,-0.1,0,0,0,right_lower_leg_link,0,1,0,0,0,0,0,,,,,,,,
