Ux=11.8774, Uy=-12.2296
Ux=12.2449, Uy=-12.6194
Ux=30.8131, Uy=-13.0337
Ux=31.2059, Uy=-13.4701
Ux=31.6118, Uy=-13.9277
Ux=32.0308, Uy=-14.4052
Ux=32.4625, Uy=-14.89
Ux=32.9066, Uy=-15.3825
Ux=716.231, Uy=-15.9357
Ux=42.7022, Uy=-16.3877
Ux=64.8729, Uy=-16.9168
Ux=72.7497, Uy=-17.4539
Ux=85.2352, Uy=-18.0059
Ux=55.392, Uy=-18.5508
Ux=137.743, Uy=-19.765
Ux=138.557, Uy=-20.2936
Ux=139.189, Uy=-20.9719
Ux=78.9051, Uy=-20.9624
Ux=8.93608, Uy=-25.8931
Ux=38.8979, Uy=-22.0887
Ux=39.0259, Uy=-22.9431
Ux=28.154, Uy=-23.3473
Ux=28.1922, Uy=-24.0744
Ux=28.2281, Uy=-24.6766
Ux=17.4791, Uy=-25.342
Ux=17.2636, Uy=-26.0269
Ux=7.71193, Uy=-26.7554
Ux=7.63481, Uy=-27.4558
Ux=-36.0479, Uy=-29.42
Ux=23.6918, Uy=-29.0153
Ux=-19.9038, Uy=-30.4089
Ux=-14.3613, Uy=-30.8878
Ux=19.219, Uy=-31.0049
Ux=10.7924, Uy=-31.7787
Ux=8.52428, Uy=-32.4785
Ux=-13.4126, Uy=-33.1355
Ux=-12.9247, Uy=-33.7462
Ux=-16.4184, Uy=-34.3136
Ux=-15.2717, Uy=-34.8251
Ux=-14.5637, Uy=-35.2691
Ux=-17.701, Uy=-35.6298
Ux=-16.7873, Uy=-35.8928
Ux=-19.1602, Uy=-36.0462
Ux=-17.9631, Uy=-36.0727
Ux=-19.8856, Uy=-35.9389
Ux=-18.5418, Uy=-35.622
Ux=-19.9803, Uy=-35.0619
Ux=-18.1012, Uy=-34.2424
Ux=-15.962, Uy=-33.1308
Ux=-17.2489, Uy=-31.6306
Ux=-15.3851, Uy=-29.6883
Ux=16.9774, Uy=-27.2822
Ux=-16.8457, Uy=-24.3219
Ux=25.6574, Uy=-20.7296
Ux=-18.5871, Uy=-16.3409
Ux=-16.7972, Uy=-11.1188
Ux=31.3526, Uy=-4.87633
Ux=-17.6926, Uy=2.44427
Ux=-1.94775, Uy=10.9697
Ux=-2.72507, Uy=21.2844
Ux=0.407865, Uy=33.1687
Ux=2.24104, Uy=87.1049
Ux=4.70352, Uy=58.9847
Ux=5.97227, Uy=63.2646
Ux=104.841, Uy=74.7899
Ux=114.602, Uy=77.349
Ux=117.41, Uy=79.6085
Ux=120.618, Uy=81.4364
Ux=138.861, Uy=82.8279
Ux=140.639, Uy=83.4229
Ux=157.726, Uy=83.2632
Ux=160.57, Uy=82.1669
Ux=174.127, Uy=80.0102
Ux=176.497, Uy=76.5818
Ux=188.447, Uy=71.5536
Ux=179.33, Uy=64.9456
Ux=160.271, Uy=56.5294
Ux=173.436, Uy=45.6729
Ux=173.158, Uy=32.1729
Ux=184.508, Uy=15.4754
Ux=184.638, Uy=-4.45519
Ux=167.28, Uy=-28.7405
Ux=210.488, Uy=-49.1065
Ux=209.362, Uy=-64.8725
Ux=215.561, Uy=-74.7569
Ux=216.618, Uy=-77.4105
Ux=223.726, Uy=-79.6902
Ux=225.187, Uy=-81.4968
Ux=225.869, Uy=-82.8073
Ux=236.036, Uy=-60.4996
Ux=232.792, Uy=-81.548
Ux=233.324, Uy=-20.4815
Ux=237.724, Uy=-80.076
Ux=233.073, Uy=-14.8542
Ux=145.059, Uy=-71.5607
Ux=146.086, Uy=-64.9753
Ux=141.011, Uy=-56.4231
Ux=140.171, Uy=-45.6035
Ux=35.2563, Uy=-31.7697
Ux=161.974, Uy=-15.4604
Ux=161.99, Uy=4.63684
Ux=-189.144, Uy=28.6048
Ux=-563.503, Uy=49.1403
Ux=-563.101, Uy=64.9065
Ux=-562.212, Uy=74.7971
Ux=-560.749, Uy=77.4561
Ux=-559.279, Uy=79.7313
Ux=-557.813, Uy=81.5416
Ux=-556.36, Uy=82.7983
Ux=-554.932, Uy=83.395
Ux=-553.533, Uy=83.2147
Ux=-552.173, Uy=82.1224
Ux=-550.873, Uy=79.9554
Ux=-548.52, Uy=76.5354
Ux=-192.506, Uy=71.6902
Ux=-546.32, Uy=65.0682
Ux=-545.493, Uy=56.511
Ux=-544.767, Uy=45.6621
Ux=-545.396, Uy=32.167
Ux=-545.103, Uy=15.6058
Ux=-545.079, Uy=-4.48842
Ux=-545.392, Uy=-28.6607
Ux=-545.389, Uy=-49.1309
Ux=-544.984, Uy=-64.889
Ux=-544.106, Uy=-74.7713
Ux=-542.635, Uy=-77.4256
Ux=-541.17, Uy=-79.6952
Ux=-539.702, Uy=-81.4993
Ux=-538.254, Uy=-82.7512
